id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	0	11	70	79	9	0	68	59	59
11	0	69	106	108	2	0	39	37	37
13	0	99	108	136	12	1	37	10	9
18	0	159	189	192	3	0	33	30	30
15	0	137	197	212	2	2	75	62	60
21	0	210	212	218	3	2	8	4	2
20	0	204	214	237	5	2	33	12	10
28	0	269	309	312	3	0	43	40	40
19	0	172	192	357	13	2	185	22	20
30	0	303	347	360	5	1	57	45	44
23	0	237	396	541	31	2	304	161	159
29	0	273	312	653	60	2	380	41	39
12	0	81	136	670	63	5	589	60	55
2	0	1	31	679	78	12	678	42	30
4	0	9	237	685	22	1	676	229	228
9	0	60	109	779	35	5	719	54	49
7	0	52	360	790	27	3	738	311	308
17	0	147	218	814	32	2	667	73	71
25	0	250	276	840	76	12	590	38	26
26	0	256	286	857	43	5	601	35	30
24	0	243	269	887	33	7	644	33	26
8	0	59	377	911	69	5	852	323	318
27	0	257	305	946	48	8	689	56	48
14	0	106	143	976	40	7	870	44	37
16	0	143	198	979	74	6	836	61	55
6	0	13	37	1110	49	9	1097	33	24
1	0	0	0	1120	51	4	1120	4	0
3	0	7	67	1132	102	9	1125	69	60
10	0	68	163	1300	153	11	1232	106	95
22	0	214	253	1360	212	23	1146	62	39
0	0	0	0	1360	5	0	1360	0	0
