id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	18	16	2	18	2	0
4	0	40	45	90	28	1	50	6	5
5	0	114	132	154	22	0	40	18	18
7	0	136	156	255	20	5	119	25	20
25	0	411	417	419	2	0	8	6	6
30	0	494	555	558	3	0	64	61	61
27	0	466	491	587	17	4	121	29	25
10	0	191	287	608	15	2	417	98	96
29	0	484	493	641	10	2	157	11	9
20	0	327	419	653	10	1	326	93	92
13	0	232	255	656	17	3	424	26	23
3	0	29	44	677	43	7	648	22	15
18	0	298	310	711	34	4	413	16	12
21	0	330	374	759	30	5	429	49	44
22	0	331	390	773	23	1	442	60	59
2	0	24	24	787	56	6	763	6	0
12	0	203	236	795	36	5	592	38	33
24	0	348	372	797	24	5	449	29	24
23	0	340	401	806	28	3	466	64	61
15	0	265	288	899	32	3	634	26	23
16	0	283	361	921	41	5	638	83	78
11	0	200	408	988	74	7	788	215	208
9	0	183	211	1011	34	2	828	30	28
6	0	126	154	1054	72	8	928	36	28
26	0	463	488	1085	59	10	622	35	25
14	0	240	259	1129	152	12	889	31	19
8	0	143	155	1151	56	3	1008	15	12
19	0	320	414	1234	158	17	914	111	94
28	0	472	492	1251	61	3	779	23	20
17	0	287	318	1275	90	12	988	43	31
0	0	0	0	1275	12	0	1275	0	0
