id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	9	32	113	49	1	104	24	23
8	0	206	322	406	84	0	200	116	116
18	0	369	416	417	1	0	48	47	47
21	0	419	449	450	1	0	31	30	30
16	0	320	482	672	115	2	352	164	162
14	0	315	538	683	24	1	368	224	223
23	0	581	693	694	1	0	113	112	112
25	0	596	738	796	25	1	200	143	142
9	0	207	866	916	17	1	709	660	659
6	0	146	216	1034	78	2	888	72	70
22	0	571	1184	1201	17	0	630	613	613
12	0	268	1223	1240	17	0	972	955	955
17	0	328	1059	1284	62	8	956	739	731
24	0	594	704	1295	12	4	701	114	110
10	0	239	1044	1313	13	1	1074	806	805
5	0	136	1084	1411	51	5	1275	953	948
3	0	37	1323	1426	28	2	1389	1288	1286
4	0	43	77	1474	47	3	1431	37	34
11	0	241	289	1663	83	5	1422	53	48
15	0	319	427	1695	62	9	1376	117	108
28	0	631	761	1787	51	2	1156	132	130
30	0	636	1505	1835	45	1	1199	870	869
7	0	157	1135	1852	83	9	1695	987	978
27	0	602	1862	1877	15	0	1275	1260	1260
20	0	395	926	2001	66	4	1606	535	531
29	0	632	1436	2012	37	5	1380	809	804
26	0	597	1536	2063	51	1	1466	940	939
13	0	293	1484	2124	33	8	1831	1199	1191
1	0	0	10	2331	142	8	2331	18	10
19	0	385	460	2348	118	8	1963	83	75
0	0	0	0	2348	-10	0	2348	0	0
