id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	79	48	1	79	11	10
2	0	33	89	90	1	0	57	56	56
6	0	108	301	343	42	0	235	193	193
17	0	302	353	354	1	0	52	51	51
13	0	205	260	406	73	1	201	56	55
29	0	439	582	584	2	0	145	143	143
22	0	373	629	652	23	0	279	256	256
26	0	414	550	663	25	4	249	140	136
27	0	416	673	676	3	0	260	257	257
19	0	332	722	726	4	0	394	390	390
12	0	195	249	750	15	2	555	56	54
8	0	121	760	765	5	0	644	639	639
24	0	407	497	806	17	3	399	93	90
20	0	359	699	861	21	5	502	345	340
16	0	266	832	899	18	3	633	569	566
10	0	173	686	1047	49	4	874	517	513
14	0	208	871	1118	53	6	910	669	663
5	0	62	100	1158	25	2	1096	40	38
7	0	110	1073	1169	21	2	1059	965	963
15	0	210	594	1221	34	2	1011	386	384
23	0	378	416	1236	88	7	858	45	38
9	0	126	1246	1406	46	4	1280	1124	1120
21	0	362	1345	1478	60	2	1116	985	983
25	0	411	508	1490	97	11	1079	108	97
28	0	418	1527	1600	28	1	1182	1110	1109
3	0	46	116	1648	166	6	1602	76	70
18	0	322	1795	1884	55	1	1562	1474	1473
30	0	468	775	1903	99	7	1435	314	307
11	0	174	1658	2024	78	9	1850	1493	1484
4	0	53	1933	2065	45	3	2012	1883	1880
0	0	0	0	2065	-17	0	2065	0	0
