id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	43	2	2	43	12	10
25	0	389	424	426	2	0	37	35	35
20	0	326	361	734	3	1	408	36	35
2	0	9	19	1128	1023	6	1119	16	10
7	1	80	304	1167	12	10	1087	234	224
5	1	61	71	1657	5	2	1596	12	10
24	2	359	393	1711	30	12	1352	46	34
23	2	351	521	1760	18	6	1409	176	170
12	2	156	237	2019	3	0	1863	81	81
4	2	48	58	2115	19	10	2067	20	10
22	2	341	498	2225	16	5	1884	162	157
8	3	111	162	2410	27	9	2299	60	51
17	3	294	914	2424	31	7	2130	627	620
19	3	313	336	2494	10	5	2181	28	23
18	4	299	1042	2567	7	0	2268	743	743
13	4	163	195	2579	24	1	2416	33	32
6	4	74	84	2590	12	2	2516	12	10
9	4	118	720	2769	14	1	2651	603	602
14	5	230	299	2943	40	10	2713	79	69
21	5	334	459	3200	35	14	2866	139	125
11	7	152	223	3457	60	21	3305	92	71
3	9	47	57	3617	14	4	3570	14	10
15	10	252	780	3668	33	13	3416	541	528
16	16	261	803	3894	57	18	3633	560	542
0	0	0	0	3894	-15	0	3894	0	0
