id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	18	16	2	18	2	0
4	0	40	45	104	28	1	64	6	5
5	0	114	120	142	22	0	28	6	6
2	0	24	24	222	56	6	198	6	0
3	0	29	44	230	43	7	201	22	15
9	0	183	241	333	34	2	150	60	58
8	0	143	150	420	56	3	277	10	7
7	0	136	146	428	20	5	292	15	10
10	0	191	266	542	15	2	351	77	75
25	0	411	565	567	2	0	156	154	154
13	0	232	291	579	17	3	347	62	59
30	0	494	635	638	3	0	144	141	141
15	0	265	309	650	32	3	385	47	44
20	0	327	498	651	10	1	324	172	171
22	0	331	517	674	23	1	343	187	186
29	0	484	620	816	10	2	332	138	136
6	0	126	145	822	72	8	696	27	19
23	0	340	528	847	28	3	507	191	188
16	0	283	363	864	41	5	581	85	80
18	0	298	438	880	34	4	582	144	140
28	0	472	619	915	61	3	443	150	147
21	0	330	507	935	30	5	605	182	177
12	0	203	273	972	36	5	769	75	70
27	0	466	618	990	17	4	524	156	152
24	0	348	542	1012	24	5	664	199	194
11	0	200	267	1015	74	7	815	74	67
26	0	463	615	1153	59	10	690	162	152
17	0	287	374	1167	90	12	880	99	87
14	0	240	295	1210	152	12	970	67	55
19	0	320	489	1277	158	17	957	186	169
0	0	0	0	1277	14	0	1277	0	0
