id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	17	16	1	17	1	0
2	0	20	20	21	1	0	1	0	0
4	0	35	54	119	20	1	84	20	19
5	0	40	60	141	29	2	101	22	20
6	0	68	119	210	4	1	142	52	51
9	0	91	156	244	23	2	153	67	65
15	0	195	245	247	2	0	52	50	50
11	0	124	210	253	6	2	129	88	86
12	0	130	214	271	16	1	141	85	84
18	0	225	280	281	1	0	56	55	55
19	0	232	281	427	2	4	195	53	49
20	0	235	282	452	36	1	217	48	47
3	0	28	28	515	98	13	487	13	0
30	0	386	585	586	1	0	200	199	199
24	0	296	452	652	20	1	356	157	156
26	0	327	492	729	36	1	402	166	165
10	0	97	175	731	20	6	634	84	78
28	0	373	540	784	8	1	411	168	167
7	0	70	122	824	64	5	754	57	52
16	0	220	271	835	22	6	615	57	51
29	0	377	541	950	48	3	573	167	164
25	0	303	476	976	50	7	673	180	173
21	0	245	312	989	47	10	744	77	67
8	0	78	141	1026	66	15	948	78	63
22	0	254	333	1040	61	6	786	85	79
23	0	258	351	1048	67	9	790	102	93
13	0	145	218	1060	94	10	915	83	73
27	0	342	515	1082	79	12	740	185	173
17	0	223	272	1096	98	15	873	64	49
14	0	157	223	1109	60	21	952	87	66
0	0	0	0	1109	14	0	1109	0	0
