id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
9	0	90	95	99	4	0	9	5	5
12	1	127	128	177	19	1	50	2	1
18	0	229	230	266	12	2	37	3	1
26	1	327	328	370	16	1	43	2	1
33	0	412	413	417	4	0	5	1	1
36	0	446	447	448	1	0	2	1	1
30	1	378	379	474	15	2	96	3	1
47	0	578	585	626	18	4	48	11	7
50	1	631	632	642	6	0	11	1	1
8	1	45	81	810	17	2	765	38	36
16	1	189	190	836	6	0	647	1	1
17	1	196	197	855	12	1	659	2	1
37	1	462	463	870	11	1	408	2	1
5	2	31	43	991	16	6	960	18	12
25	2	314	315	995	15	1	681	2	1
39	2	494	495	1007	20	3	513	4	1
11	2	105	118	1038	14	2	933	15	13
2	2	26	27	1100	21	2	1074	3	1
34	3	423	424	1241	28	2	818	3	1
22	3	268	269	1308	21	1	1040	2	1
24	3	307	308	1312	22	2	1005	3	1
40	3	496	497	1357	32	4	861	5	1
41	3	508	512	1393	28	7	885	11	4
45	4	572	573	1453	29	2	881	3	1
7	4	42	46	1476	51	4	1434	8	4
28	4	353	354	1488	30	3	1135	4	1
29	4	376	377	1594	23	3	1218	4	1
32	4	403	404	1642	27	4	1239	5	1
15	5	186	187	1665	34	1	1479	2	1
10	5	94	106	1668	33	2	1574	14	12
35	5	427	434	1735	31	3	1308	10	7
49	5	630	631	1757	38	7	1127	8	1
43	5	541	542	1808	43	6	1267	7	1
27	6	341	342	1866	46	4	1525	5	1
1	6	0	1	1882	37	7	1882	8	1
19	6	235	236	1893	40	2	1658	3	1
13	6	132	133	1896	39	3	1764	4	1
38	7	479	480	1927	50	5	1448	6	1
42	7	516	529	1964	54	4	1448	17	13
21	8	259	260	2052	47	4	1793	5	1
20	8	243	244	2062	51	4	1819	5	1
14	9	154	155	2159	69	7	2005	8	1
6	10	34	58	2202	61	6	2168	30	24
44	10	560	561	2205	64	8	1645	9	1
31	12	383	384	2366	95	12	1983	13	1
48	14	609	616	2426	113	12	1817	19	7
4	15	30	67	2478	106	14	2448	51	37
23	20	270	277	2621	137	10	2351	17	7
3	21	27	28	2646	150	12	2619	13	1
46	34	574	575	2786	249	23	2212	24	1
0	0	0	0	2786	14	0	2786	0	0
