id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	81	82	85	3	0	4	1	1
12	0	122	129	150	7	0	28	7	7
15	0	159	166	167	1	0	8	7	7
39	0	433	443	472	3	4	39	14	10
36	0	410	411	483	8	2	73	3	1
40	0	434	462	497	8	1	63	29	28
46	0	485	504	506	2	0	21	19	19
8	1	87	88	617	9	0	530	1	1
3	1	10	11	702	22	7	692	8	1
45	1	479	484	792	11	3	313	8	5
26	1	283	292	875	10	1	592	10	9
17	1	178	185	955	9	0	777	7	7
34	2	367	385	983	20	5	616	23	18
50	2	526	546	1023	16	2	497	22	20
21	2	215	229	1063	12	0	848	14	14
48	2	509	527	1114	17	1	605	19	18
23	2	224	248	1126	23	1	902	25	24
30	2	311	328	1131	20	2	820	19	17
43	2	450	456	1171	24	3	721	9	6
13	3	132	137	1255	39	5	1123	10	5
20	3	212	216	1339	28	1	1127	5	4
9	3	91	111	1341	18	0	1250	20	20
18	3	192	193	1428	22	4	1236	5	1
5	3	61	62	1446	26	3	1385	4	1
19	3	201	202	1477	25	2	1276	3	1
49	4	525	528	1595	33	3	1070	6	3
14	5	142	153	1785	33	3	1643	14	11
28	5	296	309	1866	45	6	1570	19	13
4	5	37	38	1944	62	12	1907	13	1
33	6	366	380	2040	50	6	1674	20	14
38	6	419	420	2087	45	3	1668	4	1
35	7	408	409	2197	57	5	1789	6	1
1	7	0	1	2282	59	6	2282	7	1
47	9	508	522	2455	69	14	1947	28	14
11	9	112	113	2467	76	4	2355	5	1
41	9	441	466	2493	62	3	2052	28	25
29	9	309	324	2544	61	9	2235	24	15
10	10	92	99	2626	68	5	2534	12	7
37	10	411	418	2630	81	11	2219	18	7
24	10	228	267	2671	86	10	2443	49	39
44	10	469	475	2673	81	21	2204	27	6
25	11	279	280	2688	80	12	2409	13	1
42	11	442	450	2712	80	4	2270	12	8
16	12	176	177	2755	90	13	2579	14	1
32	12	355	367	2780	81	7	2425	19	12
22	15	219	245	2945	113	14	2726	40	26
7	17	86	87	2975	94	1	2889	2	1
27	17	295	297	2983	113	13	2688	15	2
2	21	3	4	3061	175	23	3058	24	1
31	30	318	330	3128	181	18	2810	30	12
0	0	0	0	3128	0	0	3128	0	0
