id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	11	1	0	11	10	10
3	0	27	63	350	111	4	323	40	36
2	0	15	25	646	229	14	631	24	10
26	0	474	517	657	56	2	183	45	43
12	0	178	372	844	141	8	666	202	194
15	0	243	681	858	66	3	615	441	438
27	0	524	881	896	15	0	372	357	357
14	0	230	937	959	22	0	729	707	707
8	0	126	926	1036	20	2	910	802	800
21	0	313	1063	1220	54	5	907	755	750
28	0	538	1046	1280	47	5	742	513	508
20	0	293	1153	1294	47	2	1001	862	860
25	0	464	1304	1390	22	5	926	845	840
19	0	268	1327	1413	33	2	1145	1061	1059
6	0	68	1315	1469	22	4	1401	1251	1247
11	0	135	1423	1530	35	2	1395	1290	1288
4	0	37	1493	1548	22	1	1511	1457	1456
30	0	574	1574	1603	29	0	1029	1000	1000
5	0	59	1774	1844	33	1	1785	1716	1715
23	0	398	1798	1860	23	2	1462	1402	1400
22	0	383	1890	1936	3	1	1553	1508	1507
24	0	451	1870	1958	22	1	1507	1420	1419
10	0	134	1979	1996	17	0	1862	1845	1845
17	0	261	2028	2074	46	0	1813	1767	1767
13	0	196	2017	2098	2	1	1902	1822	1821
16	0	253	2108	2202	52	1	1949	1856	1855
9	0	128	1558	2240	61	5	2112	1435	1430
18	0	264	1901	2252	56	8	1988	1645	1637
7	0	76	868	2270	49	4	2194	796	792
29	0	568	1624	2384	100	7	1816	1063	1056
0	0	0	0	2384	-12	0	2384	0	0
