id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	22	221	233	12	0	211	199	199
6	0	66	308	368	60	0	302	242	242
9	0	99	527	542	15	0	443	428	428
15	0	179	672	688	16	0	509	493	493
2	0	20	66	735	158	1	715	47	46
1	0	0	10	1029	62	3	1029	13	10
29	0	480	1085	1106	21	0	626	605	605
7	0	92	392	1122	83	2	1030	302	300
8	0	95	479	1163	51	1	1068	385	384
13	0	159	625	1248	40	1	1089	467	466
16	0	180	698	1303	37	1	1123	519	518
18	0	270	790	1369	39	1	1099	521	520
21	0	319	889	1450	13	2	1131	572	570
25	0	392	988	1561	36	1	1169	597	596
27	0	417	1050	1607	38	1	1190	634	633
28	0	451	1074	1620	4	1	1169	624	623
10	0	102	552	1654	28	5	1552	455	450
11	0	121	577	1673	41	5	1552	461	456
12	0	122	603	1690	21	2	1568	483	481
4	0	29	243	1725	26	3	1696	217	214
17	0	264	762	1741	36	3	1477	501	498
19	0	278	818	1752	3	3	1474	543	540
22	0	341	911	1816	52	5	1475	575	570
26	0	394	1039	1884	19	2	1490	647	645
24	0	385	961	2035	92	4	1650	580	576
14	0	161	649	2080	50	6	1919	494	488
20	0	298	829	2092	68	4	1794	535	531
5	0	58	255	2111	125	5	2053	202	197
23	0	348	937	2124	21	8	1776	597	589
30	0	486	1132	2330	80	16	1844	662	646
0	0	0	0	2330	3	0	2330	0	0
