id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	0	45	118	146	17	2	101	75	73
9	0	90	146	150	4	0	60	56	56
12	0	127	150	195	19	1	68	24	23
16	0	189	210	216	6	0	27	21	21
1	0	0	0	238	37	7	238	7	0
22	0	268	301	336	21	1	68	34	33
24	0	307	360	399	22	2	92	55	53
25	0	314	373	413	15	1	99	60	59
30	0	378	413	465	15	2	87	37	35
36	0	446	465	466	1	0	20	19	19
33	0	412	494	498	4	0	86	82	82
39	0	494	535	563	20	3	69	44	41
50	0	631	666	672	6	0	41	35	35
51	0	666	707	713	6	0	47	41	41
47	0	578	641	724	18	4	146	67	63
52	0	675	717	751	29	1	76	43	42
55	0	722	820	833	13	0	111	98	98
56	0	740	837	852	15	0	112	97	97
60	0	811	833	864	16	2	53	24	22
61	0	829	966	981	15	0	152	137	137
74	0	968	988	990	2	0	22	20	20
66	0	889	987	999	7	2	110	100	98
72	0	959	1023	1043	20	0	84	64	64
77	0	1055	1135	1163	3	1	108	81	80
79	0	1082	1163	1176	13	0	94	81	81
82	0	1135	1197	1214	17	0	79	62	62
91	0	1320	1344	1345	1	0	25	24	24
94	0	1334	1358	1410	12	3	76	27	24
98	0	1374	1425	1441	7	2	67	53	51
71	0	957	1095	1533	23	2	576	140	138
75	0	996	1129	1558	13	1	562	134	133
100	0	1435	1441	1608	12	2	173	8	6
73	0	960	993	1619	33	11	659	44	33
76	0	1000	1016	1672	9	1	672	17	16
83	0	1143	1176	1673	8	1	530	34	33
10	0	94	97	1705	33	2	1611	5	3
28	0	353	364	1720	30	3	1367	14	11
58	0	772	898	1722	17	2	950	128	126
26	0	327	374	1730	16	1	1403	48	47
63	0	851	864	1774	46	4	923	17	13
18	0	229	238	1778	12	2	1549	11	9
37	0	462	539	1788	11	1	1326	78	77
40	0	496	563	1800	32	4	1304	71	67
17	0	196	216	1849	12	1	1653	21	20
32	0	403	486	1866	27	4	1463	87	83
34	0	423	466	1923	28	2	1500	45	43
0	0	0	0	2046	2030	0	2046	0	0
