id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	6	7	10	3	0	4	1	1
9	0	66	76	101	25	0	35	10	10
14	0	185	193	215	22	0	30	8	8
13	0	170	191	228	13	3	58	24	21
6	0	42	256	278	22	0	236	214	214
17	0	247	309	331	22	0	84	62	62
8	0	47	344	352	8	0	305	297	297
24	0	327	363	434	62	1	107	37	36
29	0	439	479	486	7	0	47	40	40
30	0	454	487	488	1	0	34	33	33
20	0	298	494	502	8	0	204	196	196
22	0	304	620	676	5	2	372	318	316
38	0	530	705	706	1	0	176	175	175
44	0	662	677	716	14	4	54	19	15
43	0	655	717	724	7	0	69	62	62
36	0	524	744	776	32	0	252	220	220
39	0	554	740	779	5	4	225	190	186
15	0	186	244	902	13	2	716	60	58
34	0	503	575	974	10	2	471	74	72
1	0	0	1	993	29	6	993	7	1
23	0	326	353	1014	31	4	688	31	27
41	0	594	827	1051	54	5	457	238	233
50	0	782	802	1107	29	5	325	25	20
25	0	345	367	1146	22	5	801	27	22
26	0	354	435	1350	20	2	996	83	81
10	0	97	145	1381	27	4	1284	52	48
47	0	756	849	1388	21	4	632	97	93
7	0	43	106	1453	66	2	1410	65	63
12	0	131	184	1479	29	4	1348	57	53
27	0	404	449	1482	31	2	1078	47	45
46	0	708	725	1547	20	1	839	18	17
4	0	27	59	1593	81	13	1566	45	32
5	0	30	70	1608	54	6	1578	46	40
40	0	560	813	1616	50	4	1056	257	253
21	0	303	529	1677	30	1	1374	227	226
18	0	259	290	1690	61	7	1431	38	31
45	0	663	683	1724	36	3	1061	23	20
32	0	480	492	1738	102	13	1258	25	12
3	0	19	30	1829	52	5	1810	16	11
11	0	113	160	1834	62	10	1721	57	47
28	0	432	465	1846	49	5	1414	38	33
31	0	479	489	1874	90	9	1395	19	10
42	0	641	836	1928	44	7	1287	202	195
33	0	497	593	1970	80	5	1473	101	96
19	0	282	303	2024	58	10	1742	31	21
16	0	239	253	2094	88	6	1855	20	14
48	0	765	780	2142	88	8	1377	23	15
35	0	522	585	2180	94	13	1658	76	63
37	0	526	622	2192	55	2	1666	98	96
49	0	771	794	2239	218	19	1468	42	23
0	0	0	0	2239	2	0	2239	0	0
