id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
11	0	69	73	75	2	0	6	4	4
15	0	137	137	141	2	2	4	2	0
18	0	159	159	162	3	0	3	0	0
19	2	172	172	202	13	2	30	2	0
20	0	204	204	213	5	2	9	2	0
21	0	210	210	215	3	2	5	2	0
5	2	11	13	228	9	0	217	2	2
13	2	99	99	235	12	1	136	1	0
28	0	269	269	272	3	0	3	0	0
30	0	303	303	309	5	1	6	1	0
4	4	9	29	574	22	1	565	21	20
1	5	0	0	669	51	4	669	4	0
24	5	243	243	700	33	7	457	7	0
7	5	52	52	704	27	3	652	3	0
23	5	237	237	705	31	2	468	2	0
9	5	60	60	748	35	5	688	5	0
14	5	106	106	752	40	7	646	7	0
26	6	256	256	760	43	5	504	5	0
6	6	13	21	779	49	9	766	17	8
17	6	147	147	781	32	2	634	2	0
27	7	257	257	848	48	8	591	8	0
8	11	59	59	1024	69	5	965	5	0
12	11	81	81	1038	63	5	957	5	0
29	12	273	273	1063	60	2	790	2	0
25	13	250	250	1101	76	12	851	12	0
2	14	1	1	1135	78	12	1134	12	0
16	14	143	143	1142	74	6	999	6	0
3	16	7	7	1159	102	9	1152	9	0
10	27	68	68	1304	153	11	1236	11	0
22	38	214	214	1360	212	23	1146	23	0
0	0	0	0	1360	5	0	1360	0	0
