id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	0	80	80	84	4	0	4	0	0
6	1	68	68	101	9	0	33	0	0
12	0	153	153	155	2	0	2	0	0
3	2	22	22	164	25	7	142	7	0
19	0	223	223	224	1	0	1	0	0
24	1	250	250	260	6	0	10	0	0
16	1	184	184	275	11	2	91	2	0
13	1	168	168	361	14	1	193	1	0
29	2	333	333	443	22	4	110	4	0
10	3	112	112	542	13	0	430	0	0
21	3	227	227	590	34	2	363	2	0
2	4	18	18	616	32	4	598	4	0
17	5	194	194	718	29	1	524	1	0
26	5	288	288	751	43	4	463	4	0
30	6	336	336	819	33	3	483	3	0
5	6	60	60	827	42	2	767	2	0
9	6	95	95	832	31	2	737	2	0
7	7	74	74	870	46	3	796	3	0
23	8	245	245	961	46	6	716	6	0
22	9	232	236	1028	45	3	796	7	4
25	9	278	278	1039	53	5	761	5	0
27	9	290	290	1051	55	10	761	10	0
4	10	42	42	1121	76	17	1079	17	0
11	13	127	127	1230	84	10	1103	10	0
14	13	170	170	1237	96	15	1067	15	0
1	14	0	0	1275	95	11	1275	11	0
18	17	196	200	1315	90	19	1119	23	4
15	18	172	176	1350	102	7	1178	11	4
28	28	295	299	1432	144	12	1137	16	4
20	28	224	224	1440	153	20	1216	20	0
0	0	0	0	1440	4	0	1440	0	0
