id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	491	95	2	491	12	10
12	0	156	515	518	3	0	362	359	359
25	0	389	822	834	12	0	445	433	433
18	0	299	686	1087	17	0	788	387	387
5	0	61	261	1098	35	2	1037	202	200
20	0	326	723	1124	23	1	798	398	397
2	0	9	31	1437	63	6	1428	28	22
6	0	74	303	1561	122	2	1487	231	229
9	0	118	460	1611	44	1	1493	343	342
7	0	80	416	1870	32	10	1790	346	336
3	0	47	145	1961	64	4	1914	102	98
4	0	48	207	2196	39	10	2148	169	159
19	0	313	712	2259	20	5	1946	404	399
22	0	341	768	2304	56	5	1963	432	427
10	0	145	474	2358	46	6	2213	335	329
13	0	163	528	2393	54	1	2230	366	365
23	0	351	780	2667	38	6	2316	435	429
8	0	111	427	2692	57	9	2581	325	316
17	0	294	655	2904	101	7	2610	368	361
15	0	252	598	2969	83	13	2717	359	346
24	0	359	791	3029	130	12	2670	444	432
14	0	230	566	3143	80	10	2913	346	336
21	0	334	754	3169	85	14	2835	434	420
16	0	261	610	3356	107	18	3095	367	349
11	0	152	501	3368	130	21	3216	370	349
0	0	0	0	3368	-18	0	3368	0	0
