id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	21	212	315	103	0	294	191	191
16	0	206	633	635	2	0	429	427	427
23	0	291	825	848	23	0	557	534	534
1	0	0	10	1089	125	4	1089	14	10
21	0	253	754	1334	54	1	1081	502	501
22	0	255	802	1345	14	2	1090	549	547
25	0	315	869	1833	28	3	1518	557	554
8	0	69	392	1923	50	5	1854	328	323
13	0	134	530	2034	56	4	1900	400	396
15	0	183	607	2095	58	5	1912	429	424
3	0	14	168	2109	90	13	2095	167	154
17	0	217	667	2124	24	3	1907	453	450
18	0	221	678	2139	73	3	1918	460	457
20	0	233	743	2193	48	4	1960	514	510
7	0	49	359	2279	68	4	2230	314	310
12	0	122	507	2393	84	5	2271	390	385
19	0	230	720	2438	46	6	2208	496	490
6	0	41	348	2511	86	7	2470	314	307
10	0	83	435	2877	127	8	2794	360	352
14	0	181	579	2952	102	13	2771	411	398
24	0	303	858	2967	111	8	2664	563	555
5	0	34	325	2980	99	12	2946	303	291
9	0	71	403	2992	90	12	2921	344	332
2	0	9	112	3073	142	14	3064	117	103
11	0	114	458	3184	147	23	3070	367	344
0	0	0	0	3184	-16	0	3184	0	0
