id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	55	349	362	13	0	307	294	294
15	0	171	606	619	13	0	448	435	435
8	0	72	422	1034	26	1	962	351	350
10	0	122	468	1076	23	3	954	349	346
16	0	184	629	1199	18	1	1015	446	445
3	0	25	301	1448	31	3	1423	279	276
5	0	56	372	1487	33	2	1431	318	316
9	0	112	457	1962	23	5	1850	350	345
13	0	129	547	2034	56	3	1905	421	418
17	0	186	642	2061	18	3	1875	459	456
20	0	205	723	2138	77	3	1933	521	518
25	0	260	839	2256	84	7	1996	586	579
6	0	66	385	2317	47	6	2251	325	319
12	0	126	523	2392	56	7	2266	404	397
14	0	150	571	2404	69	11	2254	432	421
11	0	123	499	2636	108	9	2513	385	376
23	0	234	805	2957	58	7	2723	578	571
2	0	11	32	3376	380	19	3365	40	21
22	0	223	777	3505	146	12	3282	566	554
24	0	235	828	3519	146	12	3284	605	593
7	0	67	411	3682	192	16	3615	360	344
18	0	187	664	3704	168	18	3517	495	477
19	0	191	699	3798	180	20	3607	528	508
1	0	0	10	3902	164	20	3902	30	10
21	0	222	753	4125	198	43	3903	574	531
0	0	0	0	4125	-12	0	4125	0	0
