id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	9	32	119	49	1	110	24	23
4	0	43	188	503	77	3	460	148	145
7	0	157	200	748	223	9	591	52	43
11	0	241	525	812	143	5	571	289	284
30	0	636	822	914	45	1	278	187	186
8	0	206	924	928	4	0	722	718	718
12	0	268	938	945	7	0	677	670	670
27	0	602	955	970	15	0	368	353	353
26	0	597	980	1054	41	1	457	384	383
25	0	596	1002	1066	15	1	470	407	406
23	0	581	1089	1090	1	0	509	508	508
6	0	146	1076	1140	18	2	994	932	930
10	0	239	1100	1158	23	1	919	862	861
18	0	369	1168	1169	1	0	800	799	799
21	0	419	1179	1180	1	0	761	760	760
22	0	571	1190	1197	7	0	626	619	619
9	0	207	1222	1284	27	1	1077	1016	1015
16	0	320	1307	1402	5	2	1082	989	987
17	0	328	1207	1467	62	8	1139	887	879
14	0	315	1477	1513	4	1	1198	1163	1162
24	0	594	1523	1728	42	4	1134	933	929
20	0	395	1556	1794	66	4	1399	1165	1161
3	0	37	1738	1856	38	2	1819	1703	1701
15	0	319	1819	2023	42	9	1704	1509	1500
5	0	136	1880	2074	61	5	1938	1749	1744
28	0	631	1919	2088	41	2	1457	1290	1288
29	0	632	1319	2110	57	5	1478	692	687
13	0	293	780	2234	63	8	1941	495	487
1	0	0	10	2306	132	8	2306	18	10
19	0	385	1490	2349	108	8	1964	1113	1105
0	0	0	0	2349	-9	0	2349	0	0
