id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	6	9	11	2	0	5	3	3
6	0	42	55	74	19	0	32	13	13
1	0	0	0	85	25	6	85	6	0
8	0	47	91	97	6	0	50	44	44
9	0	66	105	128	23	0	62	39	39
3	0	19	19	156	44	5	137	5	0
7	0	43	74	253	63	2	210	33	31
10	0	97	156	265	24	4	168	63	59
14	0	185	278	298	20	0	113	93	93
17	0	247	333	352	19	0	105	86	86
13	0	170	253	364	13	3	194	86	83
20	0	298	404	409	5	0	111	106	106
15	0	186	298	431	10	2	245	114	112
5	0	30	51	519	46	6	489	27	21
21	0	303	409	552	26	1	249	107	106
22	0	304	426	555	4	2	251	124	122
29	0	439	567	571	4	0	132	128	128
24	0	327	448	634	58	1	307	122	121
30	0	454	634	635	1	0	181	180	180
12	0	131	202	640	24	4	509	75	71
26	0	354	468	683	18	2	329	116	114
36	0	524	734	762	28	0	238	210	210
38	0	530	805	806	1	0	276	275	275
43	0	655	896	903	7	0	248	241	241
34	0	503	715	983	9	2	480	214	212
37	0	526	762	1074	48	2	548	238	236
27	0	404	519	1076	28	2	672	117	115
39	0	554	850	1143	4	4	589	300	296
11	0	113	181	1184	58	10	1071	78	68
44	0	662	903	1239	12	4	577	245	241
25	0	345	462	1294	19	5	949	122	117
18	0	259	364	1342	55	7	1083	112	105
46	0	708	966	1351	19	1	643	259	258
53	0	803	1048	1505	17	3	702	248	245
74	0	1082	1546	1548	2	0	466	464	464
19	0	282	402	1597	53	10	1315	130	120
28	0	432	555	1655	46	5	1223	128	123
23	0	326	440	1672	27	4	1346	118	114
42	0	641	885	1720	41	7	1079	251	244
45	0	663	908	1766	33	3	1103	248	245
62	0	948	1297	1821	19	1	873	350	349
65	0	967	1324	1880	13	5	913	362	357
0	0	0	0	2001	1984	0	2001	0	0
