id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
5	0	36	75	91	16	0	55	39	39
7	0	64	116	142	26	0	78	52	52
4	0	33	58	151	14	6	118	31	25
12	0	92	237	250	13	0	158	145	145
6	0	41	91	253	4	1	212	51	50
2	0	27	30	254	35	6	227	9	3
14	0	135	266	282	16	0	147	131	131
1	0	0	0	459	49	11	459	11	0
15	0	140	282	501	6	1	361	143	142
16	0	155	288	554	44	2	399	135	133
35	0	494	724	726	2	0	232	230	230
13	0	121	261	736	16	2	615	142	140
22	0	292	501	749	16	1	457	210	209
26	0	360	554	878	9	1	518	195	194
45	0	584	930	959	29	0	375	346	346
18	0	171	363	1064	77	3	893	195	192
10	0	79	163	1140	70	7	1061	91	84
58	0	768	1355	1369	14	0	601	587	587
23	0	308	507	1423	26	4	1115	203	199
42	0	558	878	1537	4	1	979	321	320
77	0	974	1667	1673	6	0	699	693	693
78	0	1003	1673	1680	7	0	677	670	670
46	0	603	959	1712	80	1	1109	357	356
28	0	380	579	1722	44	5	1342	204	199
30	0	422	635	1819	36	2	1397	215	213
31	0	445	657	1834	20	4	1389	216	212
20	0	181	419	1858	50	6	1677	244	238
48	0	683	1106	1859	10	1	1176	424	423
93	0	1134	1907	1909	2	0	775	773	773
49	0	688	1125	1919	19	1	1231	438	437
97	0	1180	1962	1970	8	0	790	782	782
0	0	0	0	2000	1988	0	2000	0	0
