id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	1	61	46	6	61	7	1
2	0	57	62	124	44	2	67	7	5
5	0	127	183	196	13	0	69	56	56
6	0	139	197	202	5	0	63	58	58
7	0	154	206	235	29	0	81	52	52
8	0	169	236	237	1	0	68	67	67
9	0	179	238	259	21	0	80	59	59
4	0	97	106	264	49	4	167	13	9
3	0	59	86	396	39	5	337	32	27
23	0	313	504	506	2	0	193	191	191
16	0	266	357	590	17	1	324	92	91
17	0	270	372	652	66	1	382	103	102
33	0	424	702	718	16	0	294	278	278
34	0	431	719	727	8	0	296	288	288
12	0	242	294	908	34	3	666	55	52
13	0	246	308	923	19	4	677	66	62
25	0	364	546	964	5	1	600	183	182
42	0	554	965	970	5	0	416	411	411
44	0	572	990	995	5	0	423	418	418
26	0	366	548	1011	48	1	645	183	182
46	0	593	1012	1016	4	0	423	419	419
49	0	639	1066	1072	6	0	433	427	427
28	0	385	656	1100	8	2	715	273	271
18	0	275	378	1104	25	3	829	106	103
36	0	439	747	1237	11	1	798	309	308
11	0	213	282	1270	85	5	1057	74	69
22	0	305	483	1319	40	2	1014	180	178
24	0	339	518	1343	17	3	1004	182	179
45	0	577	996	1374	15	2	797	421	419
48	0	634	1058	1391	13	1	757	425	424
50	0	646	1073	1400	27	1	754	428	427
27	0	381	653	1412	18	4	1031	276	272
35	0	438	731	1461	32	2	1023	295	293
10	0	209	274	1474	41	4	1265	69	65
14	0	252	312	1554	49	7	1302	67	60
29	0	400	675	1621	52	4	1221	279	275
37	0	446	754	1675	82	12	1229	320	308
20	0	291	437	1789	73	5	1498	151	146
21	0	302	476	1808	35	6	1506	180	174
39	0	499	887	1822	27	5	1323	393	388
47	0	618	1017	1905	79	6	1287	405	399
38	0	479	856	1979	102	7	1500	384	377
41	0	531	938	1989	51	5	1458	412	407
31	0	408	687	2013	80	9	1605	288	279
19	0	283	397	2036	86	16	1753	130	114
32	0	414	698	2080	58	18	1666	302	284
43	0	557	971	2104	74	10	1547	424	414
30	0	403	681	2112	79	15	1709	293	278
15	0	254	334	2123	107	17	1869	97	80
40	0	530	927	2152	100	15	1622	412	397
0	0	0	0	2152	10	0	2152	0	0
