id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	6	7	10	3	0	4	1	1
8	0	47	70	117	6	0	70	23	23
1	0	0	1	133	26	6	133	7	1
6	0	42	61	205	19	0	163	19	19
9	0	66	98	330	25	0	264	32	32
20	0	298	380	386	6	0	88	82	82
15	0	186	242	407	13	2	221	58	56
13	0	170	216	452	13	3	282	49	46
14	0	185	230	484	22	0	299	45	45
22	0	304	399	510	4	2	206	97	95
10	0	97	134	518	24	4	421	41	37
29	0	439	546	550	4	0	111	107	107
30	0	454	565	566	1	0	112	111	111
3	0	19	25	591	45	5	572	11	6
12	0	131	180	616	25	4	485	53	49
17	0	247	298	633	19	0	386	51	51
38	0	530	670	671	1	0	141	140	140
39	0	554	690	833	4	4	279	140	136
5	0	30	41	880	48	6	850	17	11
34	0	503	623	920	11	2	417	122	120
43	0	655	780	965	7	0	310	125	125
26	0	354	453	1038	19	2	684	101	99
21	0	303	387	1081	26	1	778	85	84
44	0	662	792	1122	13	4	460	134	130
25	0	345	444	1181	19	5	836	104	99
23	0	326	426	1281	29	4	955	104	100
46	0	708	845	1308	19	1	600	138	137
27	0	404	511	1358	30	2	954	109	107
36	0	524	646	1380	28	0	856	122	122
7	0	43	67	1430	64	2	1387	26	24
47	0	756	907	1578	21	4	822	155	151
11	0	113	158	1638	58	10	1525	55	45
50	0	782	957	1699	27	5	917	180	175
45	0	663	798	1704	34	3	1041	138	135
18	0	259	319	1714	56	7	1455	67	60
4	0	27	35	1790	77	13	1763	21	8
37	0	526	658	1796	49	2	1270	134	132
28	0	432	534	1800	48	5	1368	107	102
19	0	282	349	1815	55	10	1533	77	67
42	0	641	766	1862	41	7	1221	132	125
24	0	327	432	1870	59	1	1543	106	105
40	0	560	699	1918	49	4	1358	143	139
41	0	594	725	1924	49	5	1330	136	131
16	0	239	289	2053	87	6	1814	56	50
33	0	497	605	2123	76	5	1626	113	108
31	0	479	592	2167	81	9	1688	122	113
48	0	765	921	2174	87	8	1409	164	156
35	0	522	640	2213	89	13	1691	131	118
32	0	480	595	2241	101	13	1761	128	115
49	0	771	933	2405	208	19	1634	181	162
0	0	0	0	2405	12	0	2405	0	0
