id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	9	103	423	204	3	414	97	94
17	0	172	306	523	24	8	351	142	134
7	0	55	477	659	28	4	604	426	422
21	0	218	337	768	51	4	550	123	119
1	0	0	10	814	113	8	814	18	10
13	0	129	860	885	25	0	756	731	731
2	0	4	919	945	26	0	941	915	915
11	0	108	824	956	18	3	848	719	716
16	0	166	295	1174	89	15	1008	144	129
4	0	37	981	1231	44	7	1194	951	944
9	0	97	1241	1428	55	3	1331	1147	1144
8	0	68	1479	1545	30	1	1477	1412	1411
25	0	256	1651	2038	46	3	1782	1398	1395
15	0	152	1982	2091	33	5	1939	1835	1830
12	0	119	433	2461	151	10	2342	324	314
14	0	136	2062	2717	112	10	2581	1936	1926
6	0	52	2749	2873	49	3	2821	2700	2697
19	0	187	1451	2886	213	20	2699	1284	1264
20	0	207	2896	2955	15	2	2748	2691	2689
23	0	248	1137	3303	183	10	3055	899	889
5	0	39	1567	3680	188	20	3641	1548	1528
22	0	224	1734	3811	107	8	3587	1518	1510
18	0	177	390	3849	158	12	3672	225	213
10	0	99	669	3947	112	8	3848	578	570
24	0	253	455	4046	299	43	3793	245	202
0	0	0	0	4046	-7	0	4046	0	0
