id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	6	7	10	3	0	4	1	1
8	0	47	70	77	7	0	30	23	23
1	0	0	1	104	29	6	104	7	1
10	0	97	143	191	29	4	94	50	46
13	0	170	174	212	14	3	42	7	4
15	0	186	192	217	10	2	31	8	6
12	0	131	138	273	28	4	142	11	7
20	0	298	304	312	8	0	14	6	6
22	0	304	313	330	7	2	26	11	9
4	0	27	30	332	89	13	305	16	3
23	0	326	336	423	31	4	97	14	10
25	0	345	367	426	23	5	81	27	22
29	0	439	442	447	5	0	8	3	3
26	0	354	427	454	20	2	100	75	73
30	0	454	469	470	1	0	16	15	15
38	0	530	537	538	1	0	8	7	7
34	0	503	539	559	10	2	56	38	36
39	0	554	560	586	7	4	32	10	6
27	0	404	471	636	33	2	232	69	67
43	0	655	658	668	10	0	13	3	3
44	0	662	675	700	14	4	38	17	13
46	0	708	730	771	22	1	63	23	22
50	0	782	791	844	30	5	62	14	9
47	0	756	845	903	21	4	147	93	89
5	0	30	43	917	57	6	887	19	13
40	0	560	568	925	54	4	365	12	8
17	0	247	1004	1025	21	0	778	757	757
21	0	303	983	1044	28	1	741	681	680
6	0	42	1052	1072	20	0	1030	1010	1010
32	0	480	488	1117	105	13	637	21	8
18	0	259	346	1121	62	7	862	94	87
14	0	185	1143	1164	21	0	979	958	958
45	0	663	1122	1203	34	3	540	462	459
11	0	113	1168	1327	63	10	1214	1065	1055
28	0	432	455	1336	51	5	904	28	23
9	0	66	1361	1385	24	0	1319	1295	1295
3	0	19	1337	1435	45	5	1416	1323	1318
41	0	594	600	1465	53	5	871	11	6
42	0	641	701	1533	44	7	892	67	60
33	0	497	1393	1612	79	5	1115	901	896
31	0	479	490	1640	89	9	1161	20	11
36	0	524	1641	1669	28	0	1145	1117	1117
19	0	282	294	1754	58	10	1472	22	12
16	0	239	250	1842	89	6	1603	17	11
35	0	522	527	1992	97	13	1470	18	5
48	0	765	802	2021	87	8	1256	45	37
37	0	526	2029	2086	50	2	1560	1505	1503
49	0	771	782	2133	217	19	1362	30	11
7	0	43	53	2182	65	2	2139	12	10
24	0	327	333	2239	58	1	1912	7	6
0	0	0	0	2239	2	0	2239	0	0
