id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	81	87	90	3	0	9	6	6
3	0	10	13	102	22	7	92	10	3
8	0	87	102	111	9	0	24	15	15
12	0	122	126	133	7	0	11	4	4
15	0	159	167	168	1	0	9	8	8
4	0	37	55	185	62	12	148	30	18
17	0	178	189	198	9	0	20	11	11
5	0	61	65	250	26	3	189	7	4
21	0	215	272	284	12	0	69	57	57
26	0	283	284	297	10	1	14	2	1
30	0	311	321	362	20	2	51	12	10
34	0	367	373	417	20	5	50	11	6
36	0	410	423	438	8	2	28	15	13
39	0	433	434	443	3	4	10	5	1
40	0	434	438	451	8	1	17	5	4
46	0	485	489	491	2	0	6	4	4
45	0	479	491	513	11	3	34	15	12
43	0	450	497	546	24	3	96	50	47
48	0	509	522	562	17	1	53	14	13
50	0	526	531	574	16	2	48	7	5
51	0	545	546	580	12	5	35	6	1
58	0	686	690	693	3	0	7	4	4
56	0	673	675	715	22	4	42	6	2
61	0	758	763	769	6	0	11	5	5
44	0	469	470	777	81	21	308	22	1
64	0	768	780	787	7	0	19	12	12
60	0	742	743	847	43	13	105	14	1
67	0	829	834	874	16	2	45	7	5
70	0	878	888	906	12	1	28	11	10
73	0	908	918	937	11	1	29	11	10
69	0	863	874	981	44	10	118	21	11
65	0	801	803	995	33	3	194	5	2
79	0	990	995	1025	14	1	35	6	5
84	0	1061	1062	1092	10	2	31	3	1
87	0	1102	1106	1117	11	0	15	4	4
20	0	212	260	1149	28	1	937	49	48
89	0	1152	1160	1162	2	0	10	8	8
88	0	1150	1162	1167	5	0	17	12	12
62	0	761	789	1197	50	6	436	34	28
14	0	142	605	1201	33	3	1059	466	463
90	0	1179	1201	1238	12	3	59	25	22
98	0	1261	1271	1287	10	3	26	13	10
92	0	1197	1216	1382	89	13	185	32	19
94	0	1213	1354	1385	17	1	172	142	141
100	0	1277	1291	1419	49	8	142	22	14
13	0	132	133	1436	39	5	1304	6	1
18	0	192	1401	1458	22	4	1266	1213	1209
33	0	366	370	1509	50	6	1143	10	4
9	0	91	1545	1563	18	0	1472	1454	1454
37	0	411	417	1653	81	11	1242	17	6
53	0	609	629	1672	86	16	1063	36	20
77	0	972	1046	1708	36	3	736	77	74
86	0	1083	1086	1744	37	4	661	7	3
23	0	224	231	1764	23	1	1540	8	7
25	0	279	286	1851	80	12	1572	19	7
72	0	888	896	1934	87	18	1046	26	8
99	0	1271	1881	1978	56	7	707	617	610
0	0	0	-1	2015	2015	0	2015	-1	-1
