id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
6	0	41	52	62	4	1	21	12	11
4	0	33	53	77	14	6	44	26	20
2	0	27	30	114	35	6	87	9	3
1	0	0	0	129	49	11	129	11	0
13	0	121	122	155	16	2	34	3	1
15	0	140	147	158	6	1	18	8	7
12	0	92	209	222	13	0	130	117	117
22	0	292	301	333	16	1	41	10	9
14	0	135	340	356	16	0	221	205	205
5	0	36	367	383	16	0	347	331	331
26	0	360	366	397	9	1	37	7	6
25	0	325	333	434	36	9	109	17	8
23	0	308	312	435	26	4	127	8	4
35	0	494	496	498	2	0	4	2	2
32	0	446	459	518	27	6	72	19	13
37	0	508	511	537	15	2	29	5	3
30	0	422	444	546	36	2	124	24	22
42	0	558	561	582	4	1	24	4	3
31	0	445	546	586	20	4	141	105	101
47	0	612	617	659	23	2	47	7	5
44	0	571	589	668	25	5	97	23	18
48	0	683	685	697	10	1	14	3	2
49	0	688	697	718	19	1	30	10	9
50	0	689	694	727	13	5	38	10	5
51	0	722	727	782	23	3	60	8	5
56	0	757	760	786	13	2	29	5	3
58	0	768	793	807	14	0	39	25	25
43	0	562	595	838	54	6	276	39	33
66	0	860	870	894	12	2	34	12	10
71	0	903	904	913	5	3	10	4	1
69	0	888	898	958	27	5	70	15	10
62	0	811	824	971	43	6	160	19	13
77	0	974	982	988	6	0	14	8	8
78	0	1003	1014	1021	7	0	18	11	11
79	0	1023	1029	1056	11	3	33	9	6
67	0	877	882	1065	48	9	188	14	5
86	0	1068	1080	1114	11	2	46	14	12
83	0	1038	1067	1130	29	9	92	38	29
93	0	1134	1137	1139	2	0	5	3	3
94	0	1157	1163	1194	15	5	37	11	6
97	0	1180	1197	1205	8	0	25	17	17
91	0	1120	1150	1207	28	6	87	36	30
82	0	1037	1085	1243	35	3	206	51	48
95	0	1160	1161	1280	25	3	120	4	1
87	0	1070	1256	1290	24	1	220	187	186
68	0	882	885	1305	16	1	423	4	3
61	0	809	838	1380	38	9	571	38	29
75	0	959	1351	1385	22	2	426	394	392
70	0	893	936	1403	29	2	510	45	43
64	0	822	1422	1457	30	1	635	601	600
99	0	1207	1493	1512	19	0	305	286	286
59	0	776	1531	1575	34	2	799	757	755
54	0	746	1461	1594	67	9	848	724	715
19	0	174	177	1670	115	14	1496	17	3
55	0	754	1614	1692	39	4	938	864	860
3	0	31	62	1710	82	10	1679	41	31
27	0	367	383	1837	53	5	1470	21	16
53	0	744	749	1842	71	11	1098	16	5
89	0	1086	1121	1919	29	1	833	36	35
38	0	513	1842	1965	56	6	1452	1335	1329
0	0	0	0	2019	2007	0	2019	0	0
