id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	61	29	2	61	12	10
5	0	115	202	218	16	0	103	87	87
4	0	79	136	311	62	1	232	58	57
7	0	255	449	480	31	0	225	194	194
3	0	46	101	522	74	2	476	57	55
9	0	290	532	552	20	0	262	242	242
13	0	338	629	680	51	0	342	291	291
2	0	39	71	731	124	3	692	35	32
6	0	131	228	902	96	2	771	99	97
20	0	494	912	925	13	0	431	418	418
10	0	311	562	1026	38	1	715	252	251
23	0	595	1036	1044	8	0	449	441	441
11	0	322	586	1058	26	1	736	265	264
17	0	409	799	1345	35	1	936	391	390
19	0	443	859	1381	13	2	938	418	416
12	0	333	618	1470	38	2	1137	287	285
25	0	658	1120	1504	13	1	846	463	462
21	0	525	949	1781	29	5	1256	429	424
24	0	644	1098	1821	28	6	1177	460	454
27	0	689	1168	1876	60	3	1187	482	479
30	0	702	1244	1945	17	2	1243	544	542
15	0	394	761	1981	49	4	1587	371	367
16	0	399	788	1997	42	3	1598	392	389
8	0	275	490	2044	51	5	1769	220	215
26	0	668	1131	2084	66	4	1416	467	463
22	0	555	973	2180	57	7	1625	425	418
28	0	694	1194	2202	39	7	1508	507	500
18	0	417	831	2279	90	6	1862	420	414
14	0	388	741	2357	111	10	1969	363	353
29	0	698	1220	2370	92	10	1672	532	522
0	0	0	0	2370	-18	0	2370	0	0
