id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	0	80	86	90	4	0	10	6	6
6	0	68	94	103	9	0	35	26	26
12	0	153	155	157	2	0	4	2	2
3	0	22	59	174	25	7	152	44	37
1	0	0	0	193	95	11	193	11	0
13	0	168	175	202	14	1	34	8	7
16	0	184	193	210	11	2	26	11	9
19	0	223	233	234	1	0	11	10	10
24	0	250	263	269	6	0	19	13	13
10	0	112	317	330	13	0	218	205	205
29	0	333	344	391	22	4	58	15	11
4	0	42	78	490	76	17	448	53	36
26	0	288	436	518	43	4	230	152	148
2	0	18	20	542	32	4	524	6	2
30	0	336	355	627	33	3	291	22	19
17	0	194	210	661	29	1	467	17	16
21	0	227	239	699	34	2	472	14	12
7	0	74	553	723	46	3	649	482	479
22	0	232	280	773	45	3	541	51	48
9	0	95	109	830	31	2	735	16	14
18	0	196	221	861	90	19	665	44	25
5	0	60	331	919	42	2	859	273	271
14	0	170	521	962	96	15	792	366	351
27	0	290	861	1004	55	10	714	581	571
28	0	295	304	1091	144	12	796	21	9
11	0	127	774	1268	84	10	1141	657	647
23	0	245	248	1332	46	6	1087	9	3
20	0	224	234	1335	153	20	1111	30	10
25	0	278	279	1421	53	5	1143	6	1
15	0	172	1154	1438	102	7	1266	989	982
0	0	0	0	1438	2	0	1438	0	0
