id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	17	16	1	17	1	0
2	0	20	20	21	1	0	1	0	0
6	0	68	72	78	4	1	10	5	4
4	0	35	54	92	20	1	57	20	19
11	0	124	130	140	6	2	16	8	6
10	0	97	98	183	20	6	86	7	1
12	0	130	132	200	16	1	70	3	2
15	0	195	200	202	2	0	7	5	5
18	0	225	227	228	1	0	3	2	2
19	0	232	233	242	2	4	10	5	1
16	0	220	224	297	22	6	77	10	4
8	0	78	115	316	66	15	238	52	37
30	0	386	392	393	1	0	7	6	6
24	0	296	376	399	20	1	103	81	80
28	0	373	375	407	8	1	34	3	2
5	0	40	60	431	29	2	391	22	20
14	0	157	170	434	60	21	277	34	13
21	0	245	261	515	47	10	270	26	16
22	0	254	434	569	61	6	315	186	180
9	0	91	542	573	23	2	482	453	451
26	0	327	357	593	36	1	266	31	30
29	0	377	593	686	48	3	309	219	216
7	0	70	71	705	64	5	635	6	1
20	0	235	271	730	36	1	495	37	36
25	0	303	308	824	50	7	521	12	5
13	0	145	146	915	94	10	770	11	1
23	0	258	518	923	67	9	665	269	260
27	0	342	346	1037	79	12	695	16	4
3	0	28	28	1092	98	13	1064	13	0
17	0	223	225	1106	98	15	883	17	2
0	0	0	0	1106	11	0	1106	0	0
